Pump_ID,Temperature,Vibration,Pressure,Flow_Rate,RPM,Operational_Hours,Maintenance_Flag,Failure_Flag
2,104.04,2.495,191.84,9.671,1986,0.0,0,0
2,100.65,2.641,200.48,9.465,2011,20.2,0,0
2,101.22,2.794,209.5,9.929,2036,40.4,0,0
2,101.75,2.951,218.92,10.415,2061,60.7,0,0
2,102.22,2.924,209.07,10.926,2086,80.9,0,0
2,102.59,3.077,218.48,11.461,2061,101.1,0,0
2,102.86,2.935,208.65,10.899,2036,121.3,0,0
2,103.01,2.792,199.26,10.365,2011,141.5,0,0
2,106.57,2.65,190.29,9.858,1986,161.8,0,0
2,106.48,2.509,181.73,9.374,2011,182.0,0,0
2,106.26,2.371,173.55,8.915,1986,202.2,0,0
2,105.94,2.238,165.74,8.478,1961,222.4,0,0
2,105.51,2.323,173.2,8.063,1936,242.7,0,0
2,104.99,2.41,180.99,7.668,1911,262.9,0,0
2,104.42,2.272,189.14,8.044,1936,283.1,0,0
2,99.79,2.36,180.63,7.649,1961,303.3,0,0
2,99.19,2.23,188.76,8.024,1986,323.5,0,0
2,98.6,2.111,180.26,8.417,2011,343.8,0,0
2,98.04,2.004,187.13,8.005,1986,364.0,0,0
2,97.55,1.907,195.56,8.397,1985,384.2,0,0
2,97.13,2.003,186.76,7.986,2010,404.4,0,0
2,96.8,2.109,178.35,8.377,1985,424.6,0,0
2,96.59,2.022,186.38,8.787,2010,444.9,0,0
2,96.49,2.137,177.99,8.357,1985,465.1,0,0
2,96.52,2.261,186.0,8.766,1960,485.3,0,0
2,96.66,2.174,194.37,8.337,1935,505.5,0,0
2,96.92,2.091,203.12,8.745,1910,525.8,0,0
2,97.28,2.211,193.98,9.174,1885,546.0,0,0
2,97.73,2.121,202.71,9.623,1910,566.2,0,0
2,98.26,2.031,211.83,10.095,1935,586.4,0,0
2,98.83,2.137,221.36,10.59,1960,606.6,0,0
2,99.43,2.037,231.32,10.071,1935,626.9,0,0
2,100.03,2.133,241.73,10.564,1922,647.1,0,0
2,100.61,2.023,230.85,10.047,1947,667.3,0,0
2,101.14,2.004,220.46,10.539,1972,687.5,0,0
2,101.6,1.893,210.54,10.022,1997,707.7,0,0
2,97.88,1.786,211.74,10.513,2022,728.0,0,0
2,98.14,1.769,211.74,10.513,2022,748.2,0,0
2,98.29,1.751,211.74,10.513,2022,768.4,0,0
2,98.33,1.734,211.74,10.513,2022,788.6,0,0
2,98.26,1.719,211.74,10.513,2022,808.9,0,0
2,98.07,1.707,211.74,10.513,2022,829.1,0,0
2,97.77,1.698,211.74,10.513,2022,849.3,0,0
2,93.3,1.613,221.27,9.998,1997,869.5,0,0
2,92.85,1.535,231.22,9.508,1972,889.7,0,0
2,92.35,1.613,241.63,9.974,1997,910.0,0,0
2,91.81,1.699,252.5,10.463,1972,930.2,0,0
2,91.25,1.629,241.14,10.976,1997,950.4,0,0
2,90.71,1.565,251.99,11.514,1972,970.6,0,0
2,90.19,1.656,240.65,10.949,1947,990.8,0,0
2,87.94,1.753,229.82,11.303,1922,1011.1,0,0
2,87.55,1.855,240.16,11.857,1897,1031.3,0,0
2,87.26,1.782,250.97,12.438,1872,1051.5,0,0
2,87.05,1.881,239.68,11.829,1897,1071.7,0,0
2,86.96,1.983,228.89,12.408,1922,1092.0,0,0
2,86.97,2.085,239.19,11.8,1947,1112.2,0,0
2,87.09,2.187,228.43,11.222,1922,1132.4,0,0
2,87.32,2.08,218.15,10.672,1897,1152.6,0,0
2,91.55,2.171,208.33,10.149,1872,1172.8,0,0
2,88.04,2.262,217.71,9.652,1897,1193.1,0,0
2,84.56,2.163,227.5,10.125,1922,1213.3,0,0
2,85.05,2.246,237.74,9.629,1947,1233.5,0,0
2,85.57,2.331,248.44,9.157,1922,1253.7,0,0
2,86.08,2.418,237.26,8.708,1897,1273.9,0,0
2,86.58,2.28,226.58,8.282,1872,1294.2,0,0
2,87.04,2.152,236.78,7.962,1897,1314.4,0,0
2,87.45,2.24,226.13,8.352,1922,1334.6,0,0
2,87.78,2.259,215.95,8.761,1897,1354.8,0,0
2,88.02,2.254,215.95,8.761,1897,1375.1,0,0
2,88.17,2.255,215.95,8.761,1897,1395.3,0,0
2,88.21,2.262,215.95,8.761,1897,1415.5,0,0
2,88.15,2.274,215.95,8.761,1897,1435.7,0,0
2,87.98,2.291,215.95,8.761,1897,1455.9,0,0
2,87.72,2.312,215.95,8.761,1897,1476.2,0,0
2,87.38,2.334,215.95,8.761,1897,1496.4,0,0
2,86.97,2.358,215.95,8.761,1897,1516.6,0,0
2,82.46,2.495,206.23,8.419,1872,1536.8,0,0
2,81.98,2.396,196.95,8.006,1847,1557.0,0,0
2,81.48,2.53,188.09,8.398,1872,1577.3,0,0
2,80.99,2.665,179.62,8.81,1897,1597.5,0,0
2,80.53,2.545,187.71,9.242,1922,1617.7,0,0
2,83.05,2.425,179.26,8.789,1897,1637.9,0,0
2,78.78,2.304,187.33,9.219,1872,1658.2,0,0
2,74.61,2.185,191.82,9.671,1847,1678.4,0,0
2,78.32,2.217,183.19,9.197,1872,1698.6,0,0
2,82.11,2.305,191.43,9.648,1897,1718.8,0,0
2,82.11,2.284,191.43,9.648,1897,1739.0,0,0
2,82.22,2.262,191.43,9.648,1897,1759.3,0,0
2,82.43,2.239,191.43,9.648,1897,1779.5,0,0
2,82.72,2.218,191.43,9.648,1897,1799.7,0,0
2,83.1,2.199,191.43,9.648,1897,1819.9,0,0
2,87.48,2.29,182.82,9.175,1922,1840.1,0,0
2,87.99,2.17,174.59,8.726,1947,1860.4,0,0
2,88.52,2.27,182.45,8.298,1922,1880.6,0,0
2,89.05,2.163,174.24,7.891,1897,1900.8,0,0
2,89.57,2.274,166.4,7.505,1872,1921.0,0,0
2,90.05,2.397,158.91,7.137,1897,1941.3,0,0
2,90.48,2.299,166.06,7.487,1872,1961.5,0,0
2,90.82,2.432,173.53,7.854,1897,1981.7,0,0
2,95.19,2.574,181.34,8.238,1872,2001.9,0,0
2,91.24,2.667,189.5,8.642,1897,2022.1,0,0
